00010917	1
00011501	36
00011679	12
00011686	12
00011693	12
00011709	12
00011723	12
00011730	12
00011747	12
00011754	12
00011778	12
00016308	1
00016759	24
00016773	6
00016827	6
00016902	1
00016919	1
00016933	1
00016940	8
00018180	1
00018715	6
00018722	6
00018739	6
00018753	6
00018951	6
00019026	50
00019293	1
00019712	1
00020688	1
00020770	24
00020855	1
00020862	1
00020978	12
00020985	12
00020992	12
00021005	12
00021029	12
00021043	12
00021067	12
00021104	12
00023108	6
00023115	6
00023368	6
00023443	6
00023702	12
00023726	12
00023856	6
00024280	12
00024549	6
00024563	12
00024594	12
00024617	12
00024624	12
00024655	24
00024679	12
00024815	9
00024822	6
00025003	8
00025034	6
00025904	6
00025942	12
00026215	6
00026222	6
00028035	6
00028059	18
00028097	18
00028264	6
00028271	12
00028325	12
00028356	12
00028387	12
00028790	16
00029551	22
00029568	30
00029582	24
00030182	48
00031332	6
00031905	24
00031912	36
00031929	36
00031936	3
00031943	24
00032902	1
00035521	24
00037204	36
00037211	36
00037297	36
00037396	1
00037693	1
00037808	1
00037914	1
00037921	1
00037952	1
00039802	12
00039833	12
00039840	12
00039888	12
00040198	6
00040211	6
00040266	6
00040273	6
00041164	6
00042802	24
00043052	1
00043618	12
00043632	12
00043649	12
00043656	6
00043717	12
00044196	16
00046893	24
00047388	6
00047395	6
00047401	12
00047456	6
00047548	12
00047708	18
00047722	14
00047838	12
00047869	8
00047876	8
00047883	8
00047913	8
00047937	12
00047944	12
00048064	6
00048484	6
00048514	10
00048521	6
00048545	9
00048552	6
00048620	6
00048644	6
00048651	6
00048668	6
00049917	6
00049924	6
00050050	6
00050203	1
00050210	1
00050272	6
00050333	12
00050364	12
00050425	12
00050463	1
00050654	12
00050678	12
00050685	20
00050692	20
00050715	20
00050722	18
00051019	10
00051378	12
00051491	6
00051514	6
00051521	6
00051538	6
00051545	6
00051552	6
00051583	6
00051590	6
00051606	6
00051705	12
00051712	1
00051736	1
00051743	1
00051750	1
00051767	1
00051774	1
00051781	1
00051798	1
00051804	1
00051811	1
00051828	6
00051842	6
00052252	64
00052283	40
00052290	64
00052320	30
00052368	36
00052559	6
00052658	1
00052948	1
00052979	24
00053648	24
00054034	12
00054065	6
00054089	6
00054621	1
00054638	1
00054669	1
00056649	50
00056700	8
00056830	12
00056922	12
00057028	8
00057042	8
00057059	8
00057066	8
00057080	8
00057097	8
00057127	8
00057141	8
00057158	8
00057172	8
00057202	8
00057288	24
00057325	24
00057493	12
00057561	12
00057608	8
00057615	12
00057639	12
00057653	8
00057769	24
00057851	8
00057868	8
00057912	12
00057981	12
00057998	12
00058070	16
00058087	20
00058117	16
00058124	20
00059459	8
00060080	8
00060783	36
00060790	36
00060806	36
00061063	1
00061445	6
00061469	6
00061650	6
00062060	12
00063975	6
00066266	12
00066327	1
00066389	1
00066396	1
00066426	1
00066549	20
00071093	8
00071185	8
00071192	12
00071246	12
00072595	72
00072601	50
00073448	16
00073707	6
00073721	4
00075053	54
00075060	54
00075084	24
00075114	6
00075121	6
00075190	12
00076364	12
00076364	20
00076371	21
00076432	12
00076463	12
00076470	12
00076524	12
00076562	12
00076616	12
00076616	20
00076708	21
00076715	21
00076739	12
00077231	1
00077835	12
00077859	12
00077996	6
00078023	5
00078085	10
00078733	12
00080095	10
00080781	1
00080811	1
00080828	1
00080842	1
00084338	6
00085601	1
00085625	1
00086288	6
00086301	6
00086783	1
00086868	1
00087025	12
00087094	5
00087117	5
00087124	5
00087193	5
00087223	6
00087230	12
00087322	36
00087353	36
00087568	16
00087889	1
00088701	20
00088749	24
00088763	24
00088794	24
00088824	20
00088855	22
00088862	22
00088886	22
00089180	12
00089197	12
00089210	12
00089227	12
00089241	12
00089272	6
00089296	12
00089302	12
00089333	12
00089364	12
